"Season","StartDate","GameType","HomeTeam","HomePoints","HomeWinner","AwayTeam","AwayPoints"
"2024","2024-03-19T18:40:00.000Z","TRNMNT","Howard","68","false","Wagner","71"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Georgia","78","true","Xavier","76"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Providence","57","false","Boston College","62"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Ohio State","88","true","Cornell","83"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","Tarleton State","82","true","Texas Southern","71"
"2024","2024-03-19T19:00:00.000Z","TRNMNT","LSU","77","false","North Texas","84"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","UCF","77","false","South Florida","83"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Virginia Tech","74","true","Richmond","58"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Iowa","91","true","Kansas State","82"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Butler","72","false","Minnesota","73"
"2024","2024-03-19T21:00:00.000Z","TRNMNT","Texas A&M-Corpus Christi","63","false","Abilene Christian","73"
"2024","2024-03-19T21:10:00.000Z","TRNMNT","Virginia","42","false","Colorado State","67"
"2024","2024-03-19T23:00:00.000Z","TRNMNT","Utah","84","true","UC Irvine","75"
"2024","2024-03-20T18:40:00.000Z","TRNMNT","Montana State","81","false","Grambling","88"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Seton Hall","75","true","Saint Joseph's","72"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Bowling Green","75","false","Purdue Fort Wayne","77"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Bradley","74","true","Loyola Chicago","62"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Indiana State","101","true","SMU","92"
"2024","2024-03-20T19:00:00.000Z","TRNMNT","Tarleton State","86","true","Abilene Christian","59"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Wake Forest","87","true","App State","76"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Austin Peay","71","false","Alabama A&M","81"
"2024","2024-03-20T20:00:00.000Z","TRNMNT","Princeton","77","false","UNLV","84"
"2024","2024-03-20T21:00:00.000Z","TRNMNT","Cincinnati","73","true","San Francisco","72"
"2024","2024-03-20T21:00:00.000Z","TRNMNT","Villanova","61","false","VCU","70"
"2024","2024-03-20T21:28:00.000Z","TRNMNT","Boise State","53","false","Colorado","60"
"2024","2024-03-20T21:28:00.000Z","TRNMNT","Boise State","53","false","Colorado","60"
"2024","2024-03-21T12:15:00.000Z","TRNMNT","Mississippi State","51","false","Michigan State","69"
"2024","2024-03-21T12:40:00.000Z","TRNMNT","BYU","67","false","Duquesne","71"
"2024","2024-03-21T13:30:00.000Z","TRNMNT","Creighton","77","true","Akron","60"
"2024","2024-03-21T14:00:00.000Z","TRNMNT","Arizona","85","true","Long Beach State","65"
"2024","2024-03-21T14:45:00.000Z","TRNMNT","North Carolina","90","true","Wagner","62"
"2024","2024-03-21T15:30:00.000Z","TRNMNT","Illinois","85","true","Morehead State","69"
"2024","2024-03-21T16:00:00.000Z","TRNMNT","South Carolina","73","false","Oregon","87"
"2024","2024-03-21T16:45:00.000Z","TRNMNT","Dayton","63","true","Nevada","60"
"2024","2024-03-21T18:50:00.000Z","TRNMNT","Texas","56","true","Colorado State","44"
"2024","2024-03-21T19:20:00.000Z","TRNMNT","Kentucky","76","false","Oakland","80"
"2024","2024-03-21T19:35:00.000Z","TRNMNT","Iowa State","82","true","South Dakota State","65"
"2024","2024-03-21T19:47:00.000Z","TRNMNT","Gonzaga","86","true","McNeese","65"
"2024","2024-03-21T21:20:00.000Z","TRNMNT","Tennessee","83","true","Saint Peter's","49"
"2024","2024-03-21T22:10:00.000Z","TRNMNT","Texas Tech","67","false","NC State","80"
"2024","2024-03-21T22:12:00.000Z","TRNMNT","Washington State","66","true","Drake","61"
"2024","2024-03-21T22:20:00.000Z","TRNMNT","Kansas","93","true","Samford","89"
"2024","2024-03-22T12:15:00.000Z","TRNMNT","Florida Atlantic","65","false","Northwestern","77"
"2024","2024-03-22T12:40:00.000Z","TRNMNT","Baylor","92","true","Colgate","67"
"2024","2024-03-22T13:45:00.000Z","TRNMNT","San Diego State","69","true","UAB","65"
"2024","2024-03-22T14:00:00.000Z","TRNMNT","Marquette","87","true","Western Kentucky","69"
"2024","2024-03-22T15:10:00.000Z","TRNMNT","Clemson","77","true","New Mexico","56"
"2024","2024-03-22T15:22:00.000Z","TRNMNT","UConn","91","true","Stetson","52"
"2024","2024-03-22T16:33:00.000Z","TRNMNT","Auburn","76","false","Yale","78"
"2024","2024-03-22T16:38:00.000Z","TRNMNT","Florida","100","false","Colorado","102"
"2024","2024-03-22T16:38:00.000Z","TRNMNT","Florida","100","false","Colorado","102"
"2024","2024-03-22T19:00:00.000Z","TRNMNT","Nebraska","83","false","Texas A&M","98"
"2024","2024-03-22T19:10:00.000Z","TRNMNT","Duke","64","true","Vermont","47"
"2024","2024-03-22T19:59:00.000Z","TRNMNT","Purdue","78","true","Grambling","50"
"2024","2024-03-22T20:03:00.000Z","TRNMNT","Alabama","109","true","Charleston","96"
"2024","2024-03-22T21:49:00.000Z","TRNMNT","Houston","86","true","Longwood","46"
"2024","2024-03-22T21:50:00.000Z","TRNMNT","Wisconsin","61","false","James Madison","72"
"2024","2024-03-22T22:30:00.000Z","TRNMNT","Utah State","88","true","TCU","72"
"2024","2024-03-22T22:57:00.000Z","TRNMNT","Saint Mary's","66","false","Grand Canyon","75"
"2024","2024-03-23T11:30:00.000Z","TRNMNT","Seton Hall","72","true","North Texas","58"
"2024","2024-03-23T12:45:00.000Z","TRNMNT","Arizona","78","true","Dayton","68"
"2024","2024-03-23T13:00:00.000Z","TRNMNT","Bethune-Cookman","85","false","Arkansas State","86"
"2024","2024-03-23T14:00:00.000Z","TRNMNT","Cincinnati","74","true","Bradley","57"
"2024","2024-03-23T15:30:00.000Z","TRNMNT","Chicago State","77","true","UC San Diego","75"
"2024","2024-03-23T15:33:00.000Z","TRNMNT","Kansas","68","false","Gonzaga","89"
"2024","2024-03-23T16:00:00.000Z","TRNMNT","Norfolk State","81","true","Alabama A&M","66"
"2024","2024-03-23T17:45:00.000Z","TRNMNT","North Carolina","85","true","Michigan State","69"
"2024","2024-03-23T17:50:00.000Z","TRNMNT","Delaware State","66","false","Seattle U","79"
"2024","2024-03-23T18:10:00.000Z","TRNMNT","Iowa State","67","true","Washington State","56"
"2024","2024-03-23T19:00:00.000Z","TRNMNT","Ohio State","81","true","Virginia Tech","73"
"2024","2024-03-23T19:10:00.000Z","TRNMNT","NC State","79","true","Oakland","73"
"2024","2024-03-23T20:25:00.000Z","TRNMNT","Tennessee","62","true","Texas","58"
"2024","2024-03-23T20:49:00.000Z","TRNMNT","Illinois","89","true","Duquesne","63"
"2024","2024-03-23T22:03:00.000Z","TRNMNT","Creighton","86","true","Oregon","73"
"2024","2024-03-24T11:00:00.000Z","TRNMNT","Cleveland State","51","true","Northern Colorado","49"
"2024","2024-03-24T12:10:00.000Z","TRNMNT","Marquette","81","true","Colorado","77"
"2024","2024-03-24T12:10:00.000Z","TRNMNT","Marquette","81","true","Colorado","77"
"2024","2024-03-24T13:10:00.000Z","TRNMNT","Presbyterian","79","false","Montana","82"
"2024","2024-03-24T14:00:00.000Z","TRNMNT","Indiana State","76","true","Minnesota","64"
"2024","2024-03-24T14:47:00.000Z","TRNMNT","Purdue","106","true","Utah State","67"
"2024","2024-03-24T15:45:00.000Z","TRNMNT","Little Rock","75","false","Fairfield","82"
"2024","2024-03-24T16:00:00.000Z","TRNMNT","Wake Forest","66","false","Georgia","72"
"2024","2024-03-24T17:15:00.000Z","TRNMNT","Duke","93","true","James Madison","55"
"2024","2024-03-24T17:50:00.000Z","TRNMNT","Evansville","64","true","Quinnipiac","63"
"2024","2024-03-24T18:10:00.000Z","TRNMNT","Baylor","64","false","Clemson","72"
"2024","2024-03-24T19:10:00.000Z","TRNMNT","Alabama","72","true","Grand Canyon","61"
"2024","2024-03-24T19:30:00.000Z","TRNMNT","South Florida","65","false","VCU","70"
"2024","2024-03-24T19:45:00.000Z","TRNMNT","UConn","75","true","Northwestern","58"
"2024","2024-03-24T20:40:00.000Z","TRNMNT","Houston","100","true","Texas A&M","95"
"2024","2024-03-24T21:00:00.000Z","TRNMNT","Utah","91","true","Iowa","82"
"2024","2024-03-24T21:30:00.000Z","TRNMNT","UNLV","79","true","Boston College","70"
"2024","2024-03-24T22:12:00.000Z","TRNMNT","San Diego State","85","true","Yale","57"
"2024","2024-03-25T12:00:00.000Z","TRNMNT","Cleveland State","74","false","High Point","93"
"2024","2024-03-25T14:00:00.000Z","TRNMNT","Montana","61","false","Arkansas State","74"
"2024","2024-03-25T16:30:00.000Z","TRNMNT","Chicago State","74","false","Fairfield","77"
"2024","2024-03-25T18:45:00.000Z","TRNMNT","Evansville","57","false","Seattle U","71"
"2024","2024-03-25T19:00:00.000Z","TRNMNT","Tarleton State","72","false","Purdue Fort Wayne","73"
"2024","2024-03-26T19:00:00.000Z","TRNMNT","Arkansas State","80","false","High Point","81"
"2024","2024-03-26T19:00:00.000Z","TRNMNT","Ohio State","77","false","Georgia","79"
"2024","2024-03-26T21:00:00.000Z","TRNMNT","Indiana State","85","true","Cincinnati","81"
"2024","2024-03-26T21:34:00.000Z","TRNMNT","Fairfield","58","false","Seattle U","75"
"2024","2024-03-27T17:00:00.000Z","TRNMNT","Seattle U","77","true","High Point","67"
"2024","2024-03-27T19:00:00.000Z","TRNMNT","Seton Hall","91","true","UNLV","68"
"2024","2024-03-27T19:00:00.000Z","TRNMNT","Norfolk State","75","true","Purdue Fort Wayne","67"
"2024","2024-03-27T21:00:00.000Z","TRNMNT","Utah","74","true","VCU","54"
"2024","2024-03-28T19:09:00.000Z","TRNMNT","Arizona","72","false","Clemson","77"
"2024","2024-03-28T19:39:00.000Z","TRNMNT","UConn","82","true","San Diego State","52"
"2024","2024-03-28T21:54:00.000Z","TRNMNT","North Carolina","87","false","Alabama","89"
"2024","2024-03-28T22:14:00.000Z","TRNMNT","Iowa State","69","false","Illinois","72"
"2024","2024-03-29T19:09:00.000Z","TRNMNT","Marquette","58","false","NC State","67"
"2024","2024-03-29T19:39:00.000Z","TRNMNT","Purdue","80","true","Gonzaga","68"
"2024","2024-03-29T21:59:00.000Z","TRNMNT","Houston","51","false","Duke","54"
"2024","2024-03-29T22:10:00.000Z","TRNMNT","Tennessee","82","true","Creighton","75"
"2024","2024-03-30T18:09:00.000Z","TRNMNT","UConn","77","true","Illinois","52"
"2024","2024-03-30T20:49:00.000Z","TRNMNT","Alabama","89","true","Clemson","82"
"2024","2024-03-31T14:20:00.000Z","TRNMNT","Purdue","72","true","Tennessee","66"
"2024","2024-03-31T17:05:00.000Z","TRNMNT","Duke","64","false","NC State","76"
"2024","2024-04-02T19:00:00.000Z","TRNMNT","Indiana State","100","true","Utah","90"
"2024","2024-04-02T21:35:00.000Z","TRNMNT","Seton Hall","84","true","Georgia","67"
"2024","2024-04-04T19:00:00.000Z","TRNMNT","Seton Hall","79","true","Indiana State","77"
"2024","2024-04-06T18:09:00.000Z","TRNMNT","Purdue","63","true","NC State","50"
"2024","2024-04-06T20:51:00.000Z","TRNMNT","UConn","86","true","Alabama","72"
"2024","2024-04-08T21:20:00.000Z","TRNMNT","UConn","75","true","Purdue","60"
